Indice;Fecha;Open;Close;Variacion_diaria;Descripcion
327;2022-02-20;40118.101563;38431.378906;-1686.7226569999984;Baja
328;2022-02-21;38423.210938;37075.28125;-1347.9296879999965;Baja
329;2022-02-22;37068.769531;38286.027344;1217.2578130000038;Sube
330;2022-02-23;38285.28125;37296.570313;-988.7109370000035;Baja
331;2022-02-24;37278.566406;38332.609375;1054.042969000002;Sube
332;2022-02-25;38333.746094;39214.21875;880.4726559999981;Sube
333;2022-02-26;39213.082031;39105.148438;-107.93359300000157;Baja
334;2022-02-27;39098.699219;37709.785156;-1388.9140630000038;Baja
335;2022-02-28;37706.0;43193.234375;5487.234375;Sube
336;2022-03-01;43194.503906;44354.636719;1160.1328130000038;Sube
337;2022-03-02;44357.617188;43924.117188;-433.5;Baja
338;2022-03-03;43925.195313;42451.789063;-1473.40625;Baja
339;2022-03-04;42458.140625;39137.605469;-3320.535155999998;Baja
340;2022-03-05;39148.449219;39400.585938;252.13671899999463;Sube
341;2022-03-06;39404.199219;38419.984375;-984.2148440000019;Baja
342;2022-03-07;38429.304688;38062.039063;-367.265625;Baja
343;2022-03-08;38059.902344;38737.269531;677.3671869999962;Sube
344;2022-03-09;38742.816406;41982.925781;3240.109375;Sube
345;2022-03-10;41974.070313;39437.460938;-2536.609375;Baja
346;2022-03-11;39439.96875;38794.972656;-644.9960940000019;Baja
347;2022-03-12;38794.464844;38904.011719;109.546875;Sube
348;2022-03-13;38884.726563;37849.664063;-1035.0625;Baja
349;2022-03-14;37846.316406;39666.753906;1820.4375;Sube
350;2022-03-15;39664.25;39338.785156;-325.4648440000019;Baja
351;2022-03-16;39335.570313;41143.929688;1808.359375;Sube
352;2022-03-17;41140.84375;40951.378906;-189.4648440000019;Baja
353;2022-03-18;40944.839844;41801.15625;856.3164059999981;Sube
354;2022-03-19;41794.648438;42190.652344;396.0039060000054;Sube
355;2022-03-20;42191.40625;41247.824219;-943.5820309999981;Baja
356;2022-03-21;41246.132813;41077.996094;-168.13671899999463;Baja
357;2022-03-22;41074.105469;42358.808594;1284.703125;Sube
358;2022-03-23;42364.378906;42892.957031;528.578125;Sube
359;2022-03-24;42886.652344;43960.933594;1074.28125;Sube
360;2022-03-25;43964.546875;44348.730469;384.1835940000019;Sube
361;2022-03-26;44349.859375;44500.828125;150.96875;Sube
362;2022-03-27;44505.355469;46820.492188;2315.1367189999946;Sube
363;2022-03-28;46821.851563;47128.003906;306.15234300000157;Sube
364;2022-03-29;47100.4375;47465.730469;365.2929690000019;Sube
365;2022-03-30;47375.777344;47199.292969;-176.484375;Baja
